state,filing_status,tax_rate,income_ll,income_hl
Wisconsin,married filing jointly,0.035,0,18420
Wisconsin,married filing jointly,0.044,18421,36840
Wisconsin,married filing jointly,0.053,36841,405550
Wisconsin,married filing jointly,0.0765,405551,
Wisconsin,married filing separately,0.035,0,9210
Wisconsin,married filing separately,0.044,9211,18420
Wisconsin,married filing separately,0.053,18421,202780
Wisconsin,married filing separately,0.0765,202781,
Wisconsin,head of household,0.035,0,13810
Wisconsin,head of household,0.044,13811,27630
Wisconsin,head of household,0.053,27631,304170
Wisconsin,head of household,0.0765,304171,
Wyoming,single,0,0,0
Wyoming,married filing jointly,0,0,0
Wyoming,married filing separately,0,0,0
Wyoming,head of household,0,0,0
